key,rule,severity,component,project,line,message,effort,debt,author,tags,creationDate,updateDate,type,scope,status
AZcc3OKAE4d396A7IEjD,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,57,"Rename this field ""BASE_CACHE_SIZE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi5,java:S2293,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,58,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,analyst@localhost.localdomain,clumsy,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjE,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,58,"Rename this field ""ATTR_NAMES_TO_INDEX"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi6,java:S116,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,60,"Rename this field ""_directoryService"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi7,java:S116,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,61,"Rename this field ""_ldapServer"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi8,java:S116,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,62,"Rename this field ""_basePartition"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi9,java:S116,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,63,"Rename this field ""_deleteInstanceDirectoryOnStartup"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi-,java:S116,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,64,"Rename this field ""_deleteInstanceDirectoryOnShutdown"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjF,java:S106,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,103,Replace this use of System.out or System.err by a logger.,10min,10min,analyst@localhost.localdomain,"bad-practice, cert, owasp-a3",2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi4,java:S112,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,211,Define and throw a dedicated exception instead of using a generic one.,20min,20min,analyst@localhost.localdomain,"cert, cwe, error-handling",2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjH,java:S125,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,326,This block of commented-out lines of code should be removed.,5min,5min,analyst@localhost.localdomain,unused,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEhO,java:S2259,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,benchmarkjava,173,"A ""NullPointerException"" could be thrown; ""stmt"" is nullable here.",10min,10min,kishan@k2io.com,"cert, cwe",2023-09-08T13:01:14+0000,2025-05-29T16:18:00+0000,BUG,MAIN,OPEN
AZcc3M4zE4d396A7IDcC,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00009.java,benchmarkjava,46,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IC3O,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java,benchmarkjava,46,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IC3R,java:S1854,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java,benchmarkjava,55,"Remove this useless assignment to local variable ""param"".",15min,15min,dwichers@gmail.com,"cert, cwe, unused",2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICEb,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00208.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IEAI,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00209.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7ID9X,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00210.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3Kc1E4d396A7ICA5,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00211.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICXI,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00212.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEaC,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00213.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDAm,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00214.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IBb_,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00215.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IEMB,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00216.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICTK,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00217.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICHO,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00218.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7ID8R,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00219.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7ID5Q,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00220.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDr6,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00221.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IBjg,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00222.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IC8S,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00223.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IB3V,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00224.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M3mE4d396A7IDbW,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00225.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEbV,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00226.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICdb,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00227.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDpp,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00228.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IBkt,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00229.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDOI,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00230.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICDz,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00231.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDJa,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00232.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IEHY,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00233.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDh7,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00234.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICGm,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00235.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IEU4,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00236.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDQK,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00237.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IB8B,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00238.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDBL,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00239.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IBqP,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00240.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDoi,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00241.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7IClT,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00242.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDzc,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00243.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICOA,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00244.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IBv3,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00245.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEdm,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00246.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3B5eE4d396A7IBVB,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00247.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDg-,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00248.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IEF1,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00249.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3LsZE4d396A7IDTD,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00250.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3JPfE4d396A7IB44,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00251.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICIj,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00252.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IERc,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00253.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3KdyE4d396A7ICk1,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01099.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3M6UE4d396A7IDtL,java:S135,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01100.java,benchmarkjava,45,Reduce the total number of break and continue statements in this loop to use at most one.,20min,20min,dwichers@gmail.com,brain-overload,2022-03-15T21:23:26+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
