TestCase,CWE,Expected,Detected
BenchmarkTest00442,xpathi,True,False
BenchmarkTest02189,xpathi,True,False
BenchmarkTest01224,xpathi,True,False
BenchmarkTest00116,xpathi,False,False
BenchmarkTest01893,xpathi,False,False
BenchmarkTest01735,xpathi,False,False
BenchmarkTest00117,xpathi,False,False
BenchmarkTest01014,xpathi,False,False
BenchmarkTest00852,xpathi,False,False
BenchmarkTest01479,xpathi,False,False
BenchmarkTest00520,xpathi,False,False
BenchmarkTest02370,xpathi,False,False
BenchmarkTest01821,xpathi,False,False
BenchmarkTest00382,xss,True,False
BenchmarkTest00048,xss,True,False
BenchmarkTest02129,xss,True,False
BenchmarkTest00811,xss,True,False
BenchmarkTest01665,xss,True,False
BenchmarkTest02126,xss,True,False
BenchmarkTest02228,xss,True,False
BenchmarkTest01253,xss,True,False
BenchmarkTest00145,xss,True,False
BenchmarkTest02583,xss,True,False
BenchmarkTest02579,xss,True,False
BenchmarkTest02396,xss,True,False
BenchmarkTest02586,xss,True,False
BenchmarkTest02055,xss,True,False
BenchmarkTest00715,xss,True,False
BenchmarkTest02410,xss,True,False
BenchmarkTest02405,xss,True,False
BenchmarkTest00153,xss,True,False
BenchmarkTest02130,xss,True,False
BenchmarkTest00287,xss,True,False
BenchmarkTest00546,xss,False,False
BenchmarkTest02481,xss,False,False
BenchmarkTest01265,xss,False,False
BenchmarkTest02687,xss,False,False
BenchmarkTest00885,xss,False,False
BenchmarkTest02239,xss,False,False
BenchmarkTest00718,xss,False,False
BenchmarkTest02581,xss,False,False
BenchmarkTest00286,xss,False,False
BenchmarkTest02684,xss,False,False
BenchmarkTest01918,xss,False,False
BenchmarkTest02596,xss,False,False
BenchmarkTest02695,xss,False,False
BenchmarkTest01772,xss,False,False
BenchmarkTest00386,xss,False,False
BenchmarkTest01053,xss,False,False
BenchmarkTest02394,xss,False,False
BenchmarkTest00393,xss,False,False
BenchmarkTest02401,xss,False,False
BenchmarkTest01345,xss,False,False
BenchmarkTest01023,ldapi,True,False
BenchmarkTest01490,ldapi,True,False
BenchmarkTest01241,ldapi,True,False
BenchmarkTest02196,ldapi,True,False
BenchmarkTest00012,ldapi,True,False
BenchmarkTest01243,ldapi,True,False
BenchmarkTest01831,ldapi,True,False
BenchmarkTest01832,ldapi,True,False
BenchmarkTest01326,ldapi,True,False
BenchmarkTest02305,ldapi,True,False
BenchmarkTest02553,ldapi,False,False
BenchmarkTest01743,ldapi,False,False
BenchmarkTest02114,ldapi,False,False
BenchmarkTest01754,ldapi,False,False
BenchmarkTest01024,ldapi,False,False
BenchmarkTest01154,ldapi,False,False
BenchmarkTest02571,ldapi,False,False
BenchmarkTest02115,ldapi,False,False
BenchmarkTest01491,ldapi,False,False
BenchmarkTest00138,ldapi,False,False
BenchmarkTest01685,cmdi,True,False
BenchmarkTest00311,cmdi,True,False
BenchmarkTest02496,cmdi,True,False
BenchmarkTest01533,cmdi,True,False
BenchmarkTest02151,cmdi,True,False
BenchmarkTest01850,cmdi,True,False
BenchmarkTest00573,cmdi,True,False
BenchmarkTest01285,cmdi,True,False
BenchmarkTest02511,cmdi,True,False
BenchmarkTest00981,cmdi,True,False
BenchmarkTest00077,cmdi,True,False
BenchmarkTest02334,cmdi,True,False
BenchmarkTest00740,cmdi,True,False
BenchmarkTest02155,cmdi,True,False
BenchmarkTest01851,cmdi,True,False
BenchmarkTest00306,cmdi,True,False
BenchmarkTest02146,cmdi,True,False
BenchmarkTest00174,cmdi,True,False
BenchmarkTest01287,cmdi,True,False
BenchmarkTest00176,cmdi,True,False
BenchmarkTest00481,cmdi,False,False
BenchmarkTest00906,cmdi,False,False
BenchmarkTest00826,cmdi,False,False
BenchmarkTest01606,cmdi,False,False
BenchmarkTest01067,cmdi,False,False
BenchmarkTest01794,cmdi,False,False
BenchmarkTest01189,cmdi,False,False
BenchmarkTest02713,cmdi,False,False
BenchmarkTest01796,cmdi,False,False
BenchmarkTest00171,cmdi,False,False
BenchmarkTest00658,cmdi,False,False
BenchmarkTest02510,cmdi,False,False
BenchmarkTest00908,cmdi,False,False
BenchmarkTest01939,cmdi,False,False
BenchmarkTest00494,cmdi,False,False
BenchmarkTest01607,cmdi,False,False
BenchmarkTest00309,cmdi,False,False
BenchmarkTest02068,cmdi,False,False
BenchmarkTest00310,cmdi,False,False
BenchmarkTest02413,cmdi,False,False
BenchmarkTest00203,sqli,True,False
BenchmarkTest01214,sqli,True,False
BenchmarkTest00839,sqli,True,False
BenchmarkTest01379,sqli,True,False
BenchmarkTest02088,sqli,True,False
BenchmarkTest01396,sqli,True,False
BenchmarkTest02181,sqli,True,False
BenchmarkTest00439,sqli,True,False
BenchmarkTest01621,sqli,True,False
BenchmarkTest02537,sqli,True,False
BenchmarkTest01883,sqli,True,False
BenchmarkTest02654,sqli,True,False
BenchmarkTest02356,sqli,True,False
BenchmarkTest00842,sqli,True,False
BenchmarkTest01631,sqli,True,False
BenchmarkTest01972,sqli,True,False
BenchmarkTest02355,sqli,True,False
BenchmarkTest01473,sqli,True,False
BenchmarkTest01084,sqli,True,False
BenchmarkTest00600,sqli,True,False
BenchmarkTest02728,sqli,False,False
BenchmarkTest00932,sqli,False,False
BenchmarkTest00197,sqli,False,False
BenchmarkTest02180,sqli,False,False
BenchmarkTest00329,sqli,False,False
BenchmarkTest02539,sqli,False,False
BenchmarkTest00344,sqli,False,False
BenchmarkTest02456,sqli,False,False
BenchmarkTest01965,sqli,False,False
BenchmarkTest01729,sqli,False,False
BenchmarkTest02652,sqli,False,False
BenchmarkTest00333,sqli,False,False
BenchmarkTest01305,sqli,False,False
BenchmarkTest02268,sqli,False,False
BenchmarkTest02265,sqli,False,False
BenchmarkTest01812,sqli,False,False
BenchmarkTest01877,sqli,False,False
BenchmarkTest00440,sqli,False,False
BenchmarkTest02736,sqli,False,False
BenchmarkTest02282,sqli,False,False
BenchmarkTest02710,securecookie,True,False
BenchmarkTest00903,securecookie,True,False
BenchmarkTest01683,securecookie,True,False
BenchmarkTest02142,securecookie,True,False
BenchmarkTest01134,securecookie,True,False
BenchmarkTest02339,securecookie,True,False
BenchmarkTest01281,securecookie,True,False
BenchmarkTest00821,securecookie,True,False
BenchmarkTest00565,securecookie,True,False
BenchmarkTest01185,securecookie,True,False
BenchmarkTest02248,securecookie,False,False
BenchmarkTest01605,securecookie,False,False
BenchmarkTest02066,securecookie,False,False
BenchmarkTest01862,securecookie,False,False
BenchmarkTest01062,securecookie,False,False
BenchmarkTest01359,securecookie,False,False
BenchmarkTest02607,securecookie,False,False
BenchmarkTest02143,securecookie,False,False
BenchmarkTest01523,securecookie,False,False
BenchmarkTest00016,securecookie,False,False
BenchmarkTest01082,trustbound,True,False
BenchmarkTest00004,trustbound,True,False
BenchmarkTest00759,trustbound,True,False
BenchmarkTest01143,trustbound,True,False
BenchmarkTest00671,trustbound,True,False
BenchmarkTest00995,trustbound,True,False
BenchmarkTest00425,trustbound,True,False
BenchmarkTest01619,trustbound,True,False
BenchmarkTest00321,trustbound,True,False
BenchmarkTest00427,trustbound,True,False
BenchmarkTest02523,trustbound,False,False
BenchmarkTest01300,trustbound,False,False
BenchmarkTest01377,trustbound,False,False
BenchmarkTest02447,trustbound,False,False
BenchmarkTest02166,trustbound,False,False
BenchmarkTest02723,trustbound,False,False
BenchmarkTest00252,trustbound,False,False
BenchmarkTest00835,trustbound,False,False
BenchmarkTest00586,trustbound,False,False
BenchmarkTest00250,trustbound,False,False
BenchmarkTest01272,weakrand,True,True
BenchmarkTest02706,weakrand,True,True
BenchmarkTest01787,weakrand,True,True
BenchmarkTest02246,weakrand,True,True
BenchmarkTest00161,weakrand,True,True
BenchmarkTest01932,weakrand,True,True
BenchmarkTest02063,weakrand,True,True
BenchmarkTest00899,weakrand,True,True
BenchmarkTest02605,weakrand,True,True
BenchmarkTest01788,weakrand,True,True
BenchmarkTest02423,weakrand,True,True
BenchmarkTest00237,weakrand,True,True
BenchmarkTest02702,weakrand,True,True
BenchmarkTest00083,weakrand,True,True
BenchmarkTest00734,weakrand,True,True
BenchmarkTest02245,weakrand,True,True
BenchmarkTest02139,weakrand,True,True
BenchmarkTest00164,weakrand,True,True
BenchmarkTest01933,weakrand,True,True
BenchmarkTest00733,weakrand,True,True
BenchmarkTest00319,weakrand,False,False
BenchmarkTest01370,weakrand,False,False
BenchmarkTest01949,weakrand,False,False
BenchmarkTest01202,weakrand,False,False
BenchmarkTest02077,weakrand,False,False
BenchmarkTest02257,weakrand,False,False
BenchmarkTest02440,weakrand,False,False
BenchmarkTest02008,weakrand,False,False
BenchmarkTest02443,weakrand,False,False
BenchmarkTest01373,weakrand,False,False
BenchmarkTest00829,weakrand,False,False
BenchmarkTest01951,weakrand,False,False
BenchmarkTest02162,weakrand,False,False
BenchmarkTest02618,weakrand,False,False
BenchmarkTest02617,weakrand,False,False
BenchmarkTest01450,weakrand,False,False
BenchmarkTest01954,weakrand,False,False
BenchmarkTest00660,weakrand,False,False
BenchmarkTest00912,weakrand,False,False
BenchmarkTest02346,weakrand,False,False
BenchmarkTest01018,crypto,True,True
BenchmarkTest00691,crypto,True,True
BenchmarkTest00258,crypto,True,True
BenchmarkTest00610,crypto,True,True
BenchmarkTest02292,crypto,True,True
BenchmarkTest01020,crypto,True,True
BenchmarkTest01317,crypto,True,True
BenchmarkTest02020,crypto,True,True
BenchmarkTest01565,crypto,True,True
BenchmarkTest00449,crypto,True,True
BenchmarkTest01824,crypto,False,False
BenchmarkTest00122,crypto,False,False
BenchmarkTest00778,crypto,False,False
BenchmarkTest00776,crypto,False,False
BenchmarkTest00209,crypto,False,False
BenchmarkTest00942,crypto,False,False
BenchmarkTest02461,crypto,False,False
BenchmarkTest00687,crypto,False,False
BenchmarkTest01482,crypto,False,False
BenchmarkTest00211,crypto,False,False
BenchmarkTest00961,hash,True,False
BenchmarkTest00705,hash,True,False
BenchmarkTest00346,hash,True,False
BenchmarkTest00537,hash,True,False
BenchmarkTest02392,hash,True,False
BenchmarkTest00963,hash,True,False
BenchmarkTest01246,hash,True,False
BenchmarkTest02219,hash,True,False
BenchmarkTest01579,hash,True,False
BenchmarkTest00531,hash,True,False
BenchmarkTest01848,hash,False,False
BenchmarkTest00229,hash,False,False
BenchmarkTest00075,hash,False,False
BenchmarkTest02390,hash,False,False
BenchmarkTest01759,hash,False,False
BenchmarkTest01652,hash,False,False
BenchmarkTest00792,hash,False,False
BenchmarkTest01040,hash,False,False
BenchmarkTest02220,hash,False,False
BenchmarkTest00270,hash,False,False
