TestCase,CWE,Expected,Detected
BenchmarkTest02410,xss,True,False
BenchmarkTest02405,xss,True,False
BenchmarkTest00153,xss,True,False
BenchmarkTest02130,xss,True,True
BenchmarkTest00287,xss,True,True
BenchmarkTest00546,xss,False,False
BenchmarkTest02481,xss,False,True
BenchmarkTest01265,xss,False,True
BenchmarkTest02687,xss,False,False
BenchmarkTest00885,xss,False,False
BenchmarkTest02239,xss,False,True
BenchmarkTest00718,xss,False,False
BenchmarkTest02581,xss,False,True
BenchmarkTest00286,xss,False,True
BenchmarkTest02684,xss,False,False
BenchmarkTest01918,xss,False,True
BenchmarkTest02596,xss,False,True
BenchmarkTest02695,xss,False,False
BenchmarkTest01772,xss,False,False
BenchmarkTest00386,xss,False,False
BenchmarkTest01053,xss,False,True
BenchmarkTest02394,xss,False,False
BenchmarkTest00393,xss,False,True
BenchmarkTest02401,xss,False,False
BenchmarkTest01345,xss,False,True
BenchmarkTest01023,ldapi,True,True
BenchmarkTest01490,ldapi,True,True
BenchmarkTest01241,ldapi,True,True
BenchmarkTest02196,ldapi,True,True
BenchmarkTest00012,ldapi,True,True
BenchmarkTest01243,ldapi,True,True
BenchmarkTest01831,ldapi,True,True
BenchmarkTest01832,ldapi,True,True
BenchmarkTest01326,ldapi,True,True
BenchmarkTest02305,ldapi,True,True
BenchmarkTest02553,ldapi,False,True
BenchmarkTest01743,ldapi,False,True
BenchmarkTest02114,ldapi,False,True
BenchmarkTest01754,ldapi,False,True
BenchmarkTest01024,ldapi,False,True
BenchmarkTest01154,ldapi,False,True
BenchmarkTest02571,ldapi,False,True
BenchmarkTest02115,ldapi,False,True
BenchmarkTest01491,ldapi,False,True
BenchmarkTest00138,ldapi,False,True
BenchmarkTest01685,cmdi,True,True
BenchmarkTest00311,cmdi,True,True
BenchmarkTest02496,cmdi,True,True
BenchmarkTest01533,cmdi,True,True
BenchmarkTest02151,cmdi,True,True
BenchmarkTest01850,cmdi,True,True
BenchmarkTest00573,cmdi,True,True
BenchmarkTest01285,cmdi,True,True
BenchmarkTest02511,cmdi,True,True
BenchmarkTest00981,cmdi,True,True
BenchmarkTest00077,cmdi,True,True
BenchmarkTest02334,cmdi,True,True
BenchmarkTest00740,cmdi,True,False
BenchmarkTest02155,cmdi,True,True
BenchmarkTest01851,cmdi,True,True
BenchmarkTest00306,cmdi,True,True
BenchmarkTest02146,cmdi,True,True
BenchmarkTest00174,cmdi,True,True
BenchmarkTest01287,cmdi,True,True
BenchmarkTest00176,cmdi,True,True
BenchmarkTest00481,cmdi,False,True
BenchmarkTest00906,cmdi,False,True
BenchmarkTest00826,cmdi,False,True
BenchmarkTest01606,cmdi,False,True
BenchmarkTest01067,cmdi,False,True
BenchmarkTest01794,cmdi,False,True
BenchmarkTest01189,cmdi,False,True
BenchmarkTest02713,cmdi,False,True
BenchmarkTest01796,cmdi,False,True
BenchmarkTest00171,cmdi,False,True
BenchmarkTest00658,cmdi,False,True
BenchmarkTest02510,cmdi,False,True
BenchmarkTest00908,cmdi,False,True
BenchmarkTest01939,cmdi,False,True
BenchmarkTest00494,cmdi,False,True
BenchmarkTest01607,cmdi,False,True
BenchmarkTest00309,cmdi,False,False
BenchmarkTest02068,cmdi,False,True
BenchmarkTest00310,cmdi,False,True
BenchmarkTest02413,cmdi,False,False
BenchmarkTest00203,sqli,True,True
BenchmarkTest01214,sqli,True,True
BenchmarkTest00839,sqli,True,True
BenchmarkTest01379,sqli,True,True
BenchmarkTest02088,sqli,True,True
BenchmarkTest01396,sqli,True,True
BenchmarkTest02181,sqli,True,True
BenchmarkTest00439,sqli,True,True
BenchmarkTest01621,sqli,True,True
BenchmarkTest02537,sqli,True,True
BenchmarkTest01883,sqli,True,True
BenchmarkTest02654,sqli,True,True
BenchmarkTest02356,sqli,True,True
BenchmarkTest00842,sqli,True,False
BenchmarkTest01631,sqli,True,True
BenchmarkTest01972,sqli,True,True
BenchmarkTest02355,sqli,True,True
BenchmarkTest01473,sqli,True,True
BenchmarkTest01084,sqli,True,True
BenchmarkTest00600,sqli,True,True
BenchmarkTest02728,sqli,False,False
BenchmarkTest00932,sqli,False,False
BenchmarkTest00197,sqli,False,False
BenchmarkTest02180,sqli,False,True
BenchmarkTest00329,sqli,False,True
BenchmarkTest02539,sqli,False,True
BenchmarkTest00344,sqli,False,True
BenchmarkTest02456,sqli,False,False
BenchmarkTest01965,sqli,False,True
BenchmarkTest01729,sqli,False,True
BenchmarkTest02652,sqli,False,True
BenchmarkTest00333,sqli,False,True
BenchmarkTest01305,sqli,False,True
BenchmarkTest02268,sqli,False,True
BenchmarkTest02265,sqli,False,True
BenchmarkTest01812,sqli,False,False
BenchmarkTest01877,sqli,False,True
BenchmarkTest00440,sqli,False,False
BenchmarkTest02736,sqli,False,False
BenchmarkTest02282,sqli,False,True
BenchmarkTest02710,securecookie,True,False
BenchmarkTest00903,securecookie,True,False
BenchmarkTest01683,securecookie,True,False
BenchmarkTest02142,securecookie,True,False
BenchmarkTest01134,securecookie,True,False
BenchmarkTest02339,securecookie,True,False
BenchmarkTest01281,securecookie,True,False
BenchmarkTest00821,securecookie,True,False
BenchmarkTest00565,securecookie,True,False
BenchmarkTest01185,securecookie,True,False
BenchmarkTest02248,securecookie,False,False
BenchmarkTest01605,securecookie,False,False
BenchmarkTest02066,securecookie,False,False
BenchmarkTest01862,securecookie,False,False
BenchmarkTest01062,securecookie,False,False
BenchmarkTest01359,securecookie,False,False
BenchmarkTest02607,securecookie,False,False
BenchmarkTest02143,securecookie,False,False
BenchmarkTest01523,securecookie,False,False
BenchmarkTest00016,securecookie,False,False
BenchmarkTest01082,trustbound,True,False
BenchmarkTest00004,trustbound,True,False
BenchmarkTest00759,trustbound,True,False
BenchmarkTest01143,trustbound,True,False
BenchmarkTest00671,trustbound,True,False
BenchmarkTest00995,trustbound,True,False
BenchmarkTest00425,trustbound,True,False
BenchmarkTest01619,trustbound,True,False
BenchmarkTest00321,trustbound,True,False
BenchmarkTest00427,trustbound,True,False
BenchmarkTest02523,trustbound,False,False
BenchmarkTest01300,trustbound,False,False
BenchmarkTest01377,trustbound,False,False
BenchmarkTest02447,trustbound,False,False
BenchmarkTest02166,trustbound,False,False
BenchmarkTest02723,trustbound,False,False
BenchmarkTest00252,trustbound,False,False
BenchmarkTest00835,trustbound,False,False
BenchmarkTest00586,trustbound,False,False
BenchmarkTest00250,trustbound,False,False
BenchmarkTest01272,weakrand,True,False
BenchmarkTest02706,weakrand,True,False
BenchmarkTest01787,weakrand,True,False
BenchmarkTest02246,weakrand,True,False
BenchmarkTest00161,weakrand,True,False
BenchmarkTest01932,weakrand,True,False
BenchmarkTest02063,weakrand,True,False
BenchmarkTest00899,weakrand,True,False
BenchmarkTest02605,weakrand,True,False
BenchmarkTest01788,weakrand,True,False
BenchmarkTest02423,weakrand,True,False
BenchmarkTest00237,weakrand,True,False
BenchmarkTest02702,weakrand,True,False
BenchmarkTest00083,weakrand,True,False
BenchmarkTest00734,weakrand,True,False
BenchmarkTest02245,weakrand,True,False
BenchmarkTest02139,weakrand,True,False
BenchmarkTest00164,weakrand,True,False
BenchmarkTest01933,weakrand,True,False
BenchmarkTest00733,weakrand,True,False
BenchmarkTest00319,weakrand,False,False
BenchmarkTest01370,weakrand,False,False
BenchmarkTest01949,weakrand,False,False
BenchmarkTest01202,weakrand,False,False
BenchmarkTest02077,weakrand,False,False
BenchmarkTest02257,weakrand,False,False
BenchmarkTest02440,weakrand,False,False
BenchmarkTest02008,weakrand,False,False
BenchmarkTest02443,weakrand,False,False
BenchmarkTest01373,weakrand,False,False
BenchmarkTest00829,weakrand,False,False
BenchmarkTest01951,weakrand,False,False
BenchmarkTest02162,weakrand,False,False
BenchmarkTest02618,weakrand,False,False
BenchmarkTest02617,weakrand,False,False
BenchmarkTest01450,weakrand,False,False
BenchmarkTest01954,weakrand,False,False
BenchmarkTest00660,weakrand,False,False
BenchmarkTest00912,weakrand,False,False
BenchmarkTest02346,weakrand,False,False
BenchmarkTest01018,crypto,True,True
BenchmarkTest00691,crypto,True,True
BenchmarkTest00258,crypto,True,True
BenchmarkTest00610,crypto,True,True
BenchmarkTest02292,crypto,True,True
BenchmarkTest01020,crypto,True,True
BenchmarkTest01317,crypto,True,True
BenchmarkTest02020,crypto,True,True
BenchmarkTest01565,crypto,True,True
BenchmarkTest00449,crypto,True,True
BenchmarkTest01824,crypto,False,False
BenchmarkTest00122,crypto,False,False
BenchmarkTest00778,crypto,False,False
BenchmarkTest00776,crypto,False,False
BenchmarkTest00209,crypto,False,False
BenchmarkTest00942,crypto,False,False
BenchmarkTest02461,crypto,False,False
BenchmarkTest00687,crypto,False,False
BenchmarkTest01482,crypto,False,False
BenchmarkTest00211,crypto,False,False
BenchmarkTest00961,hash,True,False
BenchmarkTest00705,hash,True,False
BenchmarkTest00346,hash,True,False
BenchmarkTest00537,hash,True,False
BenchmarkTest02392,hash,True,False
BenchmarkTest00963,hash,True,False
BenchmarkTest01246,hash,True,False
BenchmarkTest02219,hash,True,False
BenchmarkTest01579,hash,True,False
BenchmarkTest00531,hash,True,False
BenchmarkTest01848,hash,False,False
BenchmarkTest00229,hash,False,False
BenchmarkTest00075,hash,False,False
BenchmarkTest02390,hash,False,False
BenchmarkTest01759,hash,False,False
BenchmarkTest01652,hash,False,False
BenchmarkTest00792,hash,False,False
BenchmarkTest01040,hash,False,False
BenchmarkTest02220,hash,False,False
BenchmarkTest00270,hash,False,False
