bug_type,category,priority,message,class,source_path,start_line,end_line
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
SQL_INJECTION_HIBERNATE,SECURITY,2,This use of org/hibernate/classic/Session.createQuery(Ljava/lang/String;)Lorg/hibernate/Query; can be vulnerable to SQL/HQL injection (with Hibernate),org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
SQL_INJECTION_HIBERNATE,SECURITY,2,This use of org/hibernate/Session.createQuery(Ljava/lang/String;)Lorg/hibernate/Query; can be vulnerable to SQL/HQL injection (with Hibernate),org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
SQL_INJECTION_JDBC,SECURITY,3,This use of java/sql/Statement.executeUpdate(Ljava/lang/String;)I can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.LDAPManager,org/owasp/benchmark/helpers/LDAPManager.java,44,144
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.LDAPManager,org/owasp/benchmark/helpers/LDAPManager.java,44,144
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.LDAPServer,org/owasp/benchmark/helpers/LDAPServer.java,52,374
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.LDAPServer,org/owasp/benchmark/helpers/LDAPServer.java,52,374
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.LDAPServer,org/owasp/benchmark/helpers/LDAPServer.java,52,374
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.LDAPServer,org/owasp/benchmark/helpers/LDAPServer.java,52,374
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.helpers.LDAPServer,org/owasp/benchmark/helpers/LDAPServer.java,52,374
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.helpers.PropertiesManager,org/owasp/benchmark/helpers/PropertiesManager.java,28,100
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.helpers.SeparateClassRequest,org/owasp/benchmark/helpers/SeparateClassRequest.java,26,53
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.helpers.SeparateClassRequest,org/owasp/benchmark/helpers/SeparateClassRequest.java,26,53
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.helpers.SeparateClassRequest,org/owasp/benchmark/helpers/SeparateClassRequest.java,26,53
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.Startup,org/owasp/benchmark/helpers/Startup.java,27,52
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.ThingFactory,org/owasp/benchmark/helpers/ThingFactory.java,24,49
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
OVERLY_PERMISSIVE_FILE_PERMISSION,SECURITY,2,Overly permissive file permission can lead to privilege escalation or information leakage.,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
OVERLY_PERMISSIVE_FILE_PERMISSION,SECURITY,2,Overly permissive file permission can lead to privilege escalation or information leakage.,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.helpers.Utils,org/owasp/benchmark/helpers/Utils.java,60,454
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.report.sonarqube.SonarReport,org/owasp/benchmark/report/sonarqube/SonarReport.java,23,127
URLCONNECTION_SSRF_FD,SECURITY,3,This web server request could be used by an attacker to expose internal services and filesystem.,org.owasp.benchmark.report.sonarqube.SonarReport,org/owasp/benchmark/report/sonarqube/SonarReport.java,23,127
XXE_DOCUMENT,SECURITY,2,The use of DocumentBuilder.parse(...) (DocumentBuilder) is vulnerable to XML External Entity attacks,org.owasp.benchmark.report.sonarqube.SonarReport,org/owasp/benchmark/report/sonarqube/SonarReport.java,23,127
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00001,org/owasp/benchmark/testcode/BenchmarkTest00001.java,28,104
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00001,org/owasp/benchmark/testcode/BenchmarkTest00001.java,28,104
HTTPONLY_COOKIE,SECURITY,2,Cookie without the HttpOnly flag could be read by a malicious script in the browser,org.owasp.benchmark.testcode.BenchmarkTest00001,org/owasp/benchmark/testcode/BenchmarkTest00001.java,28,104
PATH_TRAVERSAL_IN,SECURITY,1,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00001,org/owasp/benchmark/testcode/BenchmarkTest00001.java,28,104
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00002,org/owasp/benchmark/testcode/BenchmarkTest00002.java,28,91
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00002,org/owasp/benchmark/testcode/BenchmarkTest00002.java,28,91
HTTPONLY_COOKIE,SECURITY,2,Cookie without the HttpOnly flag could be read by a malicious script in the browser,org.owasp.benchmark.testcode.BenchmarkTest00002,org/owasp/benchmark/testcode/BenchmarkTest00002.java,28,91
PATH_TRAVERSAL_OUT,SECURITY,1,This API (java/io/FileOutputStream.<init>(Ljava/lang/String;Z)V) writes to a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00002,org/owasp/benchmark/testcode/BenchmarkTest00002.java,28,91
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00003,org/owasp/benchmark/testcode/BenchmarkTest00003.java,28,118
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00003,org/owasp/benchmark/testcode/BenchmarkTest00003.java,28,118
HTTPONLY_COOKIE,SECURITY,2,Cookie without the HttpOnly flag could be read by a malicious script in the browser,org.owasp.benchmark.testcode.BenchmarkTest00003,org/owasp/benchmark/testcode/BenchmarkTest00003.java,28,118
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00003,org/owasp/benchmark/testcode/BenchmarkTest00003.java,28,118
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00004,org/owasp/benchmark/testcode/BenchmarkTest00004.java,28,74
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00004,org/owasp/benchmark/testcode/BenchmarkTest00004.java,28,74
HTTPONLY_COOKIE,SECURITY,2,Cookie without the HttpOnly flag could be read by a malicious script in the browser,org.owasp.benchmark.testcode.BenchmarkTest00004,org/owasp/benchmark/testcode/BenchmarkTest00004.java,28,74
TRUST_BOUNDARY_VIOLATION,SECURITY,2,The application mixes trusted and untrusted data in session attributes.,org.owasp.benchmark.testcode.BenchmarkTest00004,org/owasp/benchmark/testcode/BenchmarkTest00004.java,28,74
CIPHER_INTEGRITY,SECURITY,1,The cipher does not provide data integrity,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
DES_USAGE,SECURITY,2,DES should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
DES_USAGE,SECURITY,2,DES should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
PADDING_ORACLE,SECURITY,1,The cipher is susceptible to padding oracle attacks,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
STATIC_IV,SECURITY,2,The initialization vector (IV) is not properly generated,org.owasp.benchmark.testcode.BenchmarkTest00005,org/owasp/benchmark/testcode/BenchmarkTest00005.java,28,121
COMMAND_INJECTION,SECURITY,1,This usage of java/lang/ProcessBuilder.command(Ljava/util/List;)Ljava/lang/ProcessBuilder; can be vulnerable to Command Injection,org.owasp.benchmark.testcode.BenchmarkTest00006,org/owasp/benchmark/testcode/BenchmarkTest00006.java,28,76
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00006,org/owasp/benchmark/testcode/BenchmarkTest00006.java,28,76
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00006,org/owasp/benchmark/testcode/BenchmarkTest00006.java,28,76
COMMAND_INJECTION,SECURITY,1,This usage of java/lang/Runtime.exec([Ljava/lang/String;[Ljava/lang/String;)Ljava/lang/Process; can be vulnerable to Command Injection,org.owasp.benchmark.testcode.BenchmarkTest00007,org/owasp/benchmark/testcode/BenchmarkTest00007.java,28,69
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00007,org/owasp/benchmark/testcode/BenchmarkTest00007.java,28,69
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00007,org/owasp/benchmark/testcode/BenchmarkTest00007.java,28,69
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00008,org/owasp/benchmark/testcode/BenchmarkTest00008.java,28,67
SERVLET_HEADER,SECURITY,3,Request header can easily be altered by the client,org.owasp.benchmark.testcode.BenchmarkTest00008,org/owasp/benchmark/testcode/BenchmarkTest00008.java,28,67
SQL_INJECTION_JDBC,SECURITY,1,This use of java/sql/Connection.prepareCall(Ljava/lang/String;)Ljava/sql/CallableStatement; can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.testcode.BenchmarkTest00008,org/owasp/benchmark/testcode/BenchmarkTest00008.java,28,67
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00009,org/owasp/benchmark/testcode/BenchmarkTest00009.java,28,123
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00010,org/owasp/benchmark/testcode/BenchmarkTest00010.java,28,115
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00010,org/owasp/benchmark/testcode/BenchmarkTest00010.java,28,115
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00010,org/owasp/benchmark/testcode/BenchmarkTest00010.java,28,115
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00010,org/owasp/benchmark/testcode/BenchmarkTest00010.java,28,115
XSS_SERVLET,SECURITY,1,This use of java/io/PrintWriter.println(Ljava/lang/String;)V could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00010,org/owasp/benchmark/testcode/BenchmarkTest00010.java,28,115
PATH_TRAVERSAL_IN,SECURITY,1,This API (java/io/File.<init>(Ljava/lang/String;Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00011,org/owasp/benchmark/testcode/BenchmarkTest00011.java,28,69
LDAP_INJECTION,SECURITY,1,This use of javax/naming/directory/InitialDirContext.search(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;Ljavax/naming/directory/SearchControls;)Ljavax/naming/NamingEnumeration; can be vulnerable to LDAP injection,org.owasp.benchmark.testcode.BenchmarkTest00012,org/owasp/benchmark/testcode/BenchmarkTest00012.java,28,105
XSS_SERVLET,SECURITY,2,This use of java/io/PrintWriter.println(Ljava/lang/String;)V could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00012,org/owasp/benchmark/testcode/BenchmarkTest00012.java,28,105
XSS_SERVLET,SECURITY,1,This use of java/io/PrintWriter.format(Ljava/util/Locale;Ljava/lang/String;[Ljava/lang/Object;)Ljava/io/PrintWriter; could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00013,org/owasp/benchmark/testcode/BenchmarkTest00013.java,28,57
XSS_SERVLET,SECURITY,1,This use of java/io/PrintWriter.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/io/PrintWriter; could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00014,org/owasp/benchmark/testcode/BenchmarkTest00014.java,28,57
COMMAND_INJECTION,SECURITY,1,This usage of java/lang/ProcessBuilder.command(Ljava/util/List;)Ljava/lang/ProcessBuilder; can be vulnerable to Command Injection,org.owasp.benchmark.testcode.BenchmarkTest00015,org/owasp/benchmark/testcode/BenchmarkTest00015.java,28,78
HTTP_RESPONSE_SPLITTING,SECURITY,2,This use of javax/servlet/http/Cookie.<init>(Ljava/lang/String;Ljava/lang/String;)V might be used to include CRLF characters into HTTP headers,org.owasp.benchmark.testcode.BenchmarkTest00016,org/owasp/benchmark/testcode/BenchmarkTest00016.java,28,82
COMMAND_INJECTION,SECURITY,1,This usage of java/lang/Runtime.exec(Ljava/lang/String;)Ljava/lang/Process; can be vulnerable to Command Injection,org.owasp.benchmark.testcode.BenchmarkTest00017,org/owasp/benchmark/testcode/BenchmarkTest00017.java,28,71
SQL_INJECTION_JDBC,SECURITY,1,This use of java/sql/Statement.executeUpdate(Ljava/lang/String;)I can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.testcode.BenchmarkTest00018,org/owasp/benchmark/testcode/BenchmarkTest00018.java,28,67
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,SECURITY,1,"org.owasp.benchmark.testcode.BenchmarkTest00018.doPost(HttpServletRequest, HttpServletResponse) passes a nonconstant String to an execute or addBatch method on an SQL statement",org.owasp.benchmark.testcode.BenchmarkTest00018,org/owasp/benchmark/testcode/BenchmarkTest00018.java,28,67
DES_USAGE,SECURITY,2,DES should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00019,org/owasp/benchmark/testcode/BenchmarkTest00019.java,28,106
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00019,org/owasp/benchmark/testcode/BenchmarkTest00019.java,28,106
TDES_USAGE,SECURITY,3,DESede should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00019,org/owasp/benchmark/testcode/BenchmarkTest00019.java,28,106
CIPHER_INTEGRITY,SECURITY,1,The cipher does not provide data integrity,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
DES_USAGE,SECURITY,2,DES should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
DES_USAGE,SECURITY,2,DES should be replaced with AES,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
PADDING_ORACLE,SECURITY,1,The cipher is susceptible to padding oracle attacks,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
STATIC_IV,SECURITY,2,The initialization vector (IV) is not properly generated,org.owasp.benchmark.testcode.BenchmarkTest00020,org/owasp/benchmark/testcode/BenchmarkTest00020.java,28,150
LDAP_INJECTION,SECURITY,1,This use of javax/naming/directory/DirContext.search(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;Ljavax/naming/directory/SearchControls;)Ljavax/naming/NamingEnumeration; can be vulnerable to LDAP injection,org.owasp.benchmark.testcode.BenchmarkTest00021,org/owasp/benchmark/testcode/BenchmarkTest00021.java,28,96
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00021,org/owasp/benchmark/testcode/BenchmarkTest00021.java,28,96
XSS_SERVLET,SECURITY,2,This use of java/io/PrintWriter.println(Ljava/lang/String;)V could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00021,org/owasp/benchmark/testcode/BenchmarkTest00021.java,28,96
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00022,org/owasp/benchmark/testcode/BenchmarkTest00022.java,28,95
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00022,org/owasp/benchmark/testcode/BenchmarkTest00022.java,28,95
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
COOKIE_USAGE,SECURITY,3,Sensitive data may be stored by the application in a cookie,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
PREDICTABLE_RANDOM,SECURITY,2,This random generator (java.util.Random) is predictable,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
XSS_SERVLET,SECURITY,1,This use of java/io/PrintWriter.println(Ljava/lang/String;)V could be vulnerable to XSS in the Servlet,org.owasp.benchmark.testcode.BenchmarkTest00023,org/owasp/benchmark/testcode/BenchmarkTest00023.java,28,95
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00024,org/owasp/benchmark/testcode/BenchmarkTest00024.java,28,67
SQL_INJECTION_JDBC,SECURITY,1,This use of java/sql/Connection.prepareStatement(Ljava/lang/String;III)Ljava/sql/PreparedStatement; can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.testcode.BenchmarkTest00024,org/owasp/benchmark/testcode/BenchmarkTest00024.java,28,67
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,SECURITY,1,"A prepared statement is generated from a nonconstant String in org.owasp.benchmark.testcode.BenchmarkTest00024.doPost(HttpServletRequest, HttpServletResponse)",org.owasp.benchmark.testcode.BenchmarkTest00024,org/owasp/benchmark/testcode/BenchmarkTest00024.java,28,67
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00025,org/owasp/benchmark/testcode/BenchmarkTest00025.java,28,65
SQL_INJECTION_SPRING_JDBC,SECURITY,1,This use of org/springframework/jdbc/core/JdbcTemplate.queryForObject(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object; can be vulnerable to SQL injection (with Spring JDBC),org.owasp.benchmark.testcode.BenchmarkTest00025,org/owasp/benchmark/testcode/BenchmarkTest00025.java,28,65
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00026,org/owasp/benchmark/testcode/BenchmarkTest00026.java,28,75
SQL_INJECTION_SPRING_JDBC,SECURITY,1,This use of org/springframework/jdbc/core/JdbcTemplate.queryForRowSet(Ljava/lang/String;)Lorg/springframework/jdbc/support/rowset/SqlRowSet; can be vulnerable to SQL injection (with Spring JDBC),org.owasp.benchmark.testcode.BenchmarkTest00026,org/owasp/benchmark/testcode/BenchmarkTest00026.java,28,75
SERVLET_PARAMETER,SECURITY,3,The method getParameter returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00027,org/owasp/benchmark/testcode/BenchmarkTest00027.java,28,60
SQL_INJECTION_JDBC,SECURITY,1,This use of java/sql/Statement.executeUpdate(Ljava/lang/String;)I can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.testcode.BenchmarkTest00027,org/owasp/benchmark/testcode/BenchmarkTest00027.java,28,60
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,SECURITY,1,"org.owasp.benchmark.testcode.BenchmarkTest00027.doPost(HttpServletRequest, HttpServletResponse) passes a nonconstant String to an execute or addBatch method on an SQL statement",org.owasp.benchmark.testcode.BenchmarkTest00027,org/owasp/benchmark/testcode/BenchmarkTest00027.java,28,60
PATH_TRAVERSAL_OUT,SECURITY,1,This API (java/io/FileOutputStream.<init>(Ljava/lang/String;Z)V) writes to a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00028,org/owasp/benchmark/testcode/BenchmarkTest00028.java,28,76
SERVLET_PARAMETER,SECURITY,3,The method getParameterMap returns a String value that is controlled by the client,org.owasp.benchmark.testcode.BenchmarkTest00028,org/owasp/benchmark/testcode/BenchmarkTest00028.java,28,76
PATH_TRAVERSAL_IN,SECURITY,2,This API (java/io/File.<init>(Ljava/lang/String;)V) reads a file whose location might be specified by user input,org.owasp.benchmark.testcode.BenchmarkTest00029,org/owasp/benchmark/testcode/BenchmarkTest00029.java,28,103
