# test name,category,real vulnerability,cwe,Benchmark version: 1.2,2016-06-1
BenchmarkTest00174,cmdi,True,78,,
BenchmarkTest01287,cmdi,True,78,,
BenchmarkTest00176,cmdi,True,78,,
BenchmarkTest00481,cmdi,False,78,,
BenchmarkTest00906,cmdi,False,78,,
BenchmarkTest00826,cmdi,False,78,,
BenchmarkTest01606,cmdi,False,78,,
BenchmarkTest01067,cmdi,False,78,,
BenchmarkTest01794,cmdi,False,78,,
BenchmarkTest01189,cmdi,False,78,,
BenchmarkTest02713,cmdi,False,78,,
BenchmarkTest01796,cmdi,False,78,,
BenchmarkTest00171,cmdi,False,78,,
BenchmarkTest00658,cmdi,False,78,,
BenchmarkTest02510,cmdi,False,78,,
BenchmarkTest00908,cmdi,False,78,,
BenchmarkTest01939,cmdi,False,78,,
BenchmarkTest00494,cmdi,False,78,,
BenchmarkTest01607,cmdi,False,78,,
BenchmarkTest00309,cmdi,False,78,,
BenchmarkTest02068,cmdi,False,78,,
BenchmarkTest00310,cmdi,False,78,,
BenchmarkTest02413,cmdi,False,78,,
BenchmarkTest00203,sqli,True,89,,
BenchmarkTest01214,sqli,True,89,,
BenchmarkTest00839,sqli,True,89,,
BenchmarkTest01379,sqli,True,89,,
BenchmarkTest02088,sqli,True,89,,
BenchmarkTest01396,sqli,True,89,,
BenchmarkTest02181,sqli,True,89,,
BenchmarkTest00439,sqli,True,89,,
BenchmarkTest01621,sqli,True,89,,
BenchmarkTest02537,sqli,True,89,,
BenchmarkTest01883,sqli,True,89,,
BenchmarkTest02654,sqli,True,89,,
BenchmarkTest02356,sqli,True,89,,
BenchmarkTest00842,sqli,True,89,,
BenchmarkTest01631,sqli,True,89,,
BenchmarkTest01972,sqli,True,89,,
BenchmarkTest02355,sqli,True,89,,
BenchmarkTest01473,sqli,True,89,,
BenchmarkTest01084,sqli,True,89,,
BenchmarkTest00600,sqli,True,89,,
BenchmarkTest02728,sqli,False,89,,
BenchmarkTest00932,sqli,False,89,,
BenchmarkTest00197,sqli,False,89,,
BenchmarkTest02180,sqli,False,89,,
BenchmarkTest00329,sqli,False,89,,
BenchmarkTest02539,sqli,False,89,,
BenchmarkTest00344,sqli,False,89,,
BenchmarkTest02456,sqli,False,89,,
BenchmarkTest01965,sqli,False,89,,
BenchmarkTest01729,sqli,False,89,,
BenchmarkTest02652,sqli,False,89,,
BenchmarkTest00333,sqli,False,89,,
BenchmarkTest01305,sqli,False,89,,
BenchmarkTest02268,sqli,False,89,,
BenchmarkTest02265,sqli,False,89,,
BenchmarkTest01812,sqli,False,89,,
BenchmarkTest01877,sqli,False,89,,
BenchmarkTest00440,sqli,False,89,,
BenchmarkTest02736,sqli,False,89,,
BenchmarkTest02282,sqli,False,89,,
BenchmarkTest02710,securecookie,True,614,,
BenchmarkTest00903,securecookie,True,614,,
BenchmarkTest01683,securecookie,True,614,,
BenchmarkTest02142,securecookie,True,614,,
BenchmarkTest01134,securecookie,True,614,,
BenchmarkTest02339,securecookie,True,614,,
BenchmarkTest01281,securecookie,True,614,,
BenchmarkTest00821,securecookie,True,614,,
BenchmarkTest00565,securecookie,True,614,,
BenchmarkTest01185,securecookie,True,614,,
BenchmarkTest02248,securecookie,False,614,,
BenchmarkTest01605,securecookie,False,614,,
BenchmarkTest02066,securecookie,False,614,,
BenchmarkTest01862,securecookie,False,614,,
BenchmarkTest01062,securecookie,False,614,,
BenchmarkTest01359,securecookie,False,614,,
BenchmarkTest02607,securecookie,False,614,,
BenchmarkTest02143,securecookie,False,614,,
BenchmarkTest01523,securecookie,False,614,,
BenchmarkTest00016,securecookie,False,614,,
BenchmarkTest01082,trustbound,True,501,,
BenchmarkTest00004,trustbound,True,501,,
BenchmarkTest00759,trustbound,True,501,,
BenchmarkTest01143,trustbound,True,501,,
BenchmarkTest00671,trustbound,True,501,,
BenchmarkTest00995,trustbound,True,501,,
BenchmarkTest00425,trustbound,True,501,,
BenchmarkTest01619,trustbound,True,501,,
BenchmarkTest00321,trustbound,True,501,,
BenchmarkTest00427,trustbound,True,501,,
BenchmarkTest02523,trustbound,False,501,,
BenchmarkTest01300,trustbound,False,501,,
BenchmarkTest01377,trustbound,False,501,,
BenchmarkTest02447,trustbound,False,501,,
BenchmarkTest02166,trustbound,False,501,,
BenchmarkTest02723,trustbound,False,501,,
BenchmarkTest00252,trustbound,False,501,,
BenchmarkTest00835,trustbound,False,501,,
BenchmarkTest00586,trustbound,False,501,,
BenchmarkTest00250,trustbound,False,501,,
BenchmarkTest01272,weakrand,True,330,,
BenchmarkTest02706,weakrand,True,330,,
BenchmarkTest01787,weakrand,True,330,,
BenchmarkTest02246,weakrand,True,330,,
BenchmarkTest00161,weakrand,True,330,,
BenchmarkTest01932,weakrand,True,330,,
BenchmarkTest02063,weakrand,True,330,,
BenchmarkTest00899,weakrand,True,330,,
BenchmarkTest02605,weakrand,True,330,,
BenchmarkTest01788,weakrand,True,330,,
BenchmarkTest02423,weakrand,True,330,,
BenchmarkTest00237,weakrand,True,330,,
BenchmarkTest02702,weakrand,True,330,,
BenchmarkTest00083,weakrand,True,330,,
BenchmarkTest00734,weakrand,True,330,,
BenchmarkTest02245,weakrand,True,330,,
BenchmarkTest02139,weakrand,True,330,,
BenchmarkTest00164,weakrand,True,330,,
BenchmarkTest01933,weakrand,True,330,,
BenchmarkTest00733,weakrand,True,330,,
BenchmarkTest00319,weakrand,False,330,,
BenchmarkTest01370,weakrand,False,330,,
BenchmarkTest01949,weakrand,False,330,,
BenchmarkTest01202,weakrand,False,330,,
BenchmarkTest02077,weakrand,False,330,,
BenchmarkTest02257,weakrand,False,330,,
BenchmarkTest02440,weakrand,False,330,,
BenchmarkTest02008,weakrand,False,330,,
BenchmarkTest02443,weakrand,False,330,,
BenchmarkTest01373,weakrand,False,330,,
BenchmarkTest00829,weakrand,False,330,,
BenchmarkTest01951,weakrand,False,330,,
BenchmarkTest02162,weakrand,False,330,,
BenchmarkTest02618,weakrand,False,330,,
BenchmarkTest02617,weakrand,False,330,,
BenchmarkTest01450,weakrand,False,330,,
BenchmarkTest01954,weakrand,False,330,,
BenchmarkTest00660,weakrand,False,330,,
BenchmarkTest00912,weakrand,False,330,,
BenchmarkTest02346,weakrand,False,330,,
BenchmarkTest01018,crypto,True,327,,
BenchmarkTest00691,crypto,True,327,,
BenchmarkTest00258,crypto,True,327,,
BenchmarkTest00610,crypto,True,327,,
BenchmarkTest02292,crypto,True,327,,
BenchmarkTest01020,crypto,True,327,,
BenchmarkTest01317,crypto,True,327,,
BenchmarkTest02020,crypto,True,327,,
BenchmarkTest01565,crypto,True,327,,
BenchmarkTest00449,crypto,True,327,,
BenchmarkTest01824,crypto,False,327,,
BenchmarkTest00122,crypto,False,327,,
BenchmarkTest00778,crypto,False,327,,
BenchmarkTest00776,crypto,False,327,,
BenchmarkTest00209,crypto,False,327,,
BenchmarkTest00942,crypto,False,327,,
BenchmarkTest02461,crypto,False,327,,
BenchmarkTest00687,crypto,False,327,,
BenchmarkTest01482,crypto,False,327,,
BenchmarkTest00211,crypto,False,327,,
BenchmarkTest00961,hash,True,328,,
BenchmarkTest00705,hash,True,328,,
BenchmarkTest00346,hash,True,328,,
BenchmarkTest00537,hash,True,328,,
BenchmarkTest02392,hash,True,328,,
BenchmarkTest00963,hash,True,328,,
BenchmarkTest01246,hash,True,328,,
BenchmarkTest02219,hash,True,328,,
BenchmarkTest01579,hash,True,328,,
BenchmarkTest00531,hash,True,328,,
BenchmarkTest01848,hash,False,328,,
BenchmarkTest00229,hash,False,328,,
BenchmarkTest00075,hash,False,328,,
BenchmarkTest02390,hash,False,328,,
BenchmarkTest01759,hash,False,328,,
BenchmarkTest01652,hash,False,328,,
BenchmarkTest00792,hash,False,328,,
BenchmarkTest01040,hash,False,328,,
BenchmarkTest02220,hash,False,328,,
BenchmarkTest00270,hash,False,328,,
