File,URL,Issue,Severity
BenchmarkTest00005.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00005/%5C.5723a81740fae720e31b454ec9e89ca0%5C,Interesting response,informational
BenchmarkTest00006.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00006,Allowed HTTP methods,informational
BenchmarkTest00006.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00006/%5C.70be954fd989bc40594fd1fd129e26c6%5C,Interesting response,informational
BenchmarkTest00007.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00007,Allowed HTTP methods,informational
BenchmarkTest00007.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00007/%5C.729bf82d7c67d7e6e898cad73a1766ec%5C,Interesting response,informational
BenchmarkTest00008.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00008,Interesting response,informational
BenchmarkTest00008.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00008,Allowed HTTP methods,informational
BenchmarkTest00008.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00008/Arachni-94bd819b1d776a2cd1a4d931d1a6e74e,Interesting response,informational
BenchmarkTest00009.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00009,Allowed HTTP methods,informational
BenchmarkTest00009.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00009/%5C.c181e838c282dcf01ba4168b6ec46b6a%5C,Interesting response,informational
BenchmarkTest00010.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00010,Allowed HTTP methods,informational
BenchmarkTest00010.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00010/%5C.f6e1eda2a76e990948466c5a00880514%5C,Interesting response,informational
BenchmarkTest00011.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00011,Allowed HTTP methods,informational
BenchmarkTest00011.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00011/%5C.933b88bc4db5eeb69fe676bc6863b3ef%5C,Interesting response,informational
BenchmarkTest00012.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00012,Allowed HTTP methods,informational
BenchmarkTest00012.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00012/%5C.ceb07b8821bf4dd01ee5c8234728ccbc%5C,Interesting response,informational
BenchmarkTest00013.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00013,Allowed HTTP methods,informational
BenchmarkTest00013.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00013/%5C.e0ec058afacf70ca6693419d32454744%5C,Interesting response,informational
BenchmarkTest00014.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00014,Allowed HTTP methods,informational
BenchmarkTest00014.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00014/%5C.7ccb51a2104223439fb30f6600073121%5C,Interesting response,informational
BenchmarkTest00015.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00015,Allowed HTTP methods,informational
BenchmarkTest00015.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00015/%5C.ac9d707610662ef43062f0b363c5ab2c%5C,Interesting response,informational
BenchmarkTest00016.xml,https://192.168.6.149:8443/benchmark/securecookie-00/BenchmarkTest00016,Interesting response,informational
BenchmarkTest00016.xml,https://192.168.6.149:8443/benchmark/securecookie-00/BenchmarkTest00016/Arachni-ff27d1c4b77f1f52e9ab8a407a2b1465,Interesting response,informational
BenchmarkTest00016.xml,https://192.168.6.149:8443/benchmark/securecookie-00/BenchmarkTest00016,Allowed HTTP methods,informational
BenchmarkTest00017.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00017,Allowed HTTP methods,informational
BenchmarkTest00017.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00017,Interesting response,informational
BenchmarkTest00017.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00017/Arachni-901444aad28be69438872e62dbf68718,Interesting response,informational
BenchmarkTest00018.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00018,Allowed HTTP methods,informational
BenchmarkTest00018.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00018/%5C.12b696c815450d422d1f2ab9c87718dc%5C,Interesting response,informational
BenchmarkTest00019.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00019?BenchmarkTest00019=someSecret,Allowed HTTP methods,informational
BenchmarkTest00019.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00019/%5C.aa906b696190d107c587ce1280386759%5C,Interesting response,informational
BenchmarkTest00020.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00020?BenchmarkTest00020=someSecret,Allowed HTTP methods,informational
BenchmarkTest00020.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00020/%5C.1ba1a5e8a07a1a618c5129cff261523a%5C,Interesting response,informational
BenchmarkTest00021.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms%20Bar,LDAP Injection,high
BenchmarkTest00021.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms%20Bar%23%5E($!@$)(()))******,Interesting response,informational
BenchmarkTest00021.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms%20Bar,Allowed HTTP methods,informational
BenchmarkTest00021.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00021/%5C.9cb47feca38a51a265bb43c3089f27ae%5C,Interesting response,informational
BenchmarkTest00022.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00022?BenchmarkTest00022=someSecret,Allowed HTTP methods,informational
BenchmarkTest00022.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00022/%5C.cdf2f411854196e6b7596dd4677fa273%5C,Interesting response,informational
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=whatever_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e%00,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e%00,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=whatever_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e%00&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e%00&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=_arachni_trainer_611ce32ac71d99a18cabb6798599ef9e&BenchmarkTest00023=whatever,Private IP address disclosure,low
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023?foo=foo&BenchmarkTest00023=whatever,Allowed HTTP methods,informational
BenchmarkTest00023.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00023/%5C.611ce32ac71d99a18cabb6798599ef9e%5C,Interesting response,informational
BenchmarkTest00024.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00024?BenchmarkTest00024=bar,SQL Injection,high
BenchmarkTest00024.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00024?BenchmarkTest00024=bar'%20arachni_xss_in_tag='9d1cf657dee172e3f9fb38aecfda5f42'%20blah=',Interesting response,informational
BenchmarkTest00024.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00024?BenchmarkTest00024=bar,Allowed HTTP methods,informational
BenchmarkTest00024.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00024/%5C.9d1cf657dee172e3f9fb38aecfda5f42%5C,Interesting response,informational
BenchmarkTest00025.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00025?BenchmarkTest00025=bar,SQL Injection,high
BenchmarkTest00025.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00025?BenchmarkTest00025=bar'%20arachni_xss_in_tag='fad860bd908201c43ed3a68abb0eb3bc'%20blah=',Interesting response,informational
BenchmarkTest00025.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00025?BenchmarkTest00025=bar,Allowed HTTP methods,informational
BenchmarkTest00025.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00025/%5C.%5C,Interesting response,informational
BenchmarkTest00026.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00026?BenchmarkTest00026=bar,SQL Injection,high
BenchmarkTest00026.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00026?BenchmarkTest00026=bar'%20arachni_xss_in_tag='1d97d9bc7c06c1f117ef19f48144e1fa'%20blah=',Interesting response,informational
BenchmarkTest00026.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00026?BenchmarkTest00026=bar,Allowed HTTP methods,informational
BenchmarkTest00026.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00026/%5C.1d97d9bc7c06c1f117ef19f48144e1fa%5C,Interesting response,informational
BenchmarkTest00027.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00027?BenchmarkTest00027=bar,SQL Injection,high
BenchmarkTest00027.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00027?BenchmarkTest00027=bar%20arachni_xss_in_tag=c6de8b348a9735e4d11d62fa8ee26700%20blah=,Interesting response,informational
BenchmarkTest00027.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00027?BenchmarkTest00027=bar,Allowed HTTP methods,informational
BenchmarkTest00027.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00027/%5C.c6de8b348a9735e4d11d62fa8ee26700%5C,Interesting response,informational
BenchmarkTest00028.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00028?foo=foo&BenchmarkTest00028=FileName,Allowed HTTP methods,informational
BenchmarkTest00028.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00028/%5C.%5C,Interesting response,informational
BenchmarkTest00029.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00029?BenchmarkTest00029=someSecret,Allowed HTTP methods,informational
BenchmarkTest00029.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00029/%5C.f6789965eb5f34202e5a198a5d65d6dc%5C,Interesting response,informational
BenchmarkTest00030.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00030?BenchmarkTest00030=SafeText,Cross-Site Scripting (XSS) in script context,high
BenchmarkTest00030.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00030?BenchmarkTest00030=SafeText,Cross-Site Scripting (XSS),high
BenchmarkTest00030.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00030?BenchmarkTest00030=SafeText%253Cxss_f6498468d55f045c087ead17fdb4c6d7%252F%253E,Interesting response,informational
BenchmarkTest00030.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00030?BenchmarkTest00030=SafeText,Allowed HTTP methods,informational
BenchmarkTest00030.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00030/%5C.f6498468d55f045c087ead17fdb4c6d7%5C,Interesting response,informational
BenchmarkTest00031.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00031?BenchmarkTest00031=my_user_id,Allowed HTTP methods,informational
BenchmarkTest00031.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00031/%5C.02e8a72c229c3c11c1f37731bc72ec7f%5C,Interesting response,informational
BenchmarkTest00032.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00032?BenchmarkTest00032=bar,SQL Injection,high
BenchmarkTest00032.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00032?BenchmarkTest00032=bar'%20arachni_xss_in_tag='40b6dd40dbf57a73c90441ebdb034738'%20blah=',Interesting response,informational
BenchmarkTest00032.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00032?BenchmarkTest00032=bar,Allowed HTTP methods,informational
BenchmarkTest00032.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00032/%5C.40b6dd40dbf57a73c90441ebdb034738%5C,Interesting response,informational
BenchmarkTest00033.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00033?foo=foo&BenchmarkTest00033=bar,SQL Injection,high
BenchmarkTest00033.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00033?foo=foo&BenchmarkTest00033=bar'%20arachni_xss_in_tag='139f83f15c7766da711c8d383d4255f3'%20blah=',Interesting response,informational
BenchmarkTest00033.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00033?foo=foo&BenchmarkTest00033=bar,Allowed HTTP methods,informational
BenchmarkTest00033.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00033/%5C.139f83f15c7766da711c8d383d4255f3%5C,Interesting response,informational
BenchmarkTest00034.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00034?BenchmarkTest00034=bar,SQL Injection,high
BenchmarkTest00034.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00034?BenchmarkTest00034=bar'%20arachni_xss_in_tag='e49cb10b2cfb0a496c15ce62bec6f17a'%20blah=',Interesting response,informational
BenchmarkTest00034.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00034?BenchmarkTest00034=bar,Allowed HTTP methods,informational
BenchmarkTest00034.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00034/%5C.e49cb10b2cfb0a496c15ce62bec6f17a%5C,Interesting response,informational
BenchmarkTest00035.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00035?someSecret=BenchmarkTest00035,Allowed HTTP methods,informational
BenchmarkTest00035.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00035/%5C.372124c69f7012fbd041823b1f7af774%5C,Interesting response,informational
BenchmarkTest00036.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00036?SafeText=BenchmarkTest00036,Allowed HTTP methods,informational
BenchmarkTest00036.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00036/%5C.%5C,Interesting response,informational
BenchmarkTest00037.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00037?bar=BenchmarkTest00037,Allowed HTTP methods,informational
BenchmarkTest00037.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00037/%5C.%5C,Interesting response,informational
BenchmarkTest00038.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00038?bar=BenchmarkTest00038,Allowed HTTP methods,informational
BenchmarkTest00038.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00038/%5C.%5C,Interesting response,informational
BenchmarkTest00039.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00039?bar=BenchmarkTest00039,Allowed HTTP methods,informational
BenchmarkTest00039.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00039/%5C.e40e15af0527105b2c96e6a7b6c51757%5C,Interesting response,informational
BenchmarkTest00040.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00040?BenchmarkTest00040=FileName,Allowed HTTP methods,informational
BenchmarkTest00040.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00040/%5C.4ebb58a4e7084e4e21290196d54d9c9b%5C,Interesting response,informational
BenchmarkTest00041.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00041?BenchmarkTest00041=SafeText,Cross-Site Scripting (XSS) in script context,high
BenchmarkTest00041.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00041?BenchmarkTest00041=SafeText,Cross-Site Scripting (XSS),high
BenchmarkTest00041.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00041?BenchmarkTest00041=SafeText,Allowed HTTP methods,informational
BenchmarkTest00041.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00041/%5C.43a072345d8258cf45b1e5f7b7fee26f%5C,Interesting response,informational
BenchmarkTest00042.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00042?BenchmarkTest00042=whatever,Allowed HTTP methods,informational
BenchmarkTest00042.xml,https://192.168.6.149:8443/benchmark/weakrand-00/BenchmarkTest00042/%5C.e3e101d9091157d805b0cfef19393164%5C,Interesting response,informational
BenchmarkTest00043.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00043?foo=foo&BenchmarkTest00043=bar,SQL Injection,high
BenchmarkTest00043.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00043?foo=foo&BenchmarkTest00043=bar%20arachni_xss_in_tag=f22188f413952ace0794a25f263ced9c%20blah=,Interesting response,informational
BenchmarkTest00043.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00043?foo=foo&BenchmarkTest00043=bar,Allowed HTTP methods,informational
BenchmarkTest00043.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00043/%5C.f22188f413952ace0794a25f263ced9c%5C,Interesting response,informational
BenchmarkTest00044.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00044?BenchmarkTest00044=Ms%20Bar,LDAP Injection,high
BenchmarkTest00044.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00044?BenchmarkTest00044=Ms%20Bar%23%5E($!@$)(()))******,Interesting response,informational
BenchmarkTest00044.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00044?BenchmarkTest00044=Ms%20Bar,Allowed HTTP methods,informational
BenchmarkTest00044.xml,https://192.168.6.149:8443/benchmark/ldapi-00/BenchmarkTest00044/%5C.729ddcefdb3b870cb63dc7410cd62fe0%5C,Interesting response,informational
BenchmarkTest00045.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00045?BenchmarkTest00045=FileName,Allowed HTTP methods,informational
BenchmarkTest00045.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00045/%5C.2e71c752f5c767546e826b62e0ec0b43%5C,Interesting response,informational
BenchmarkTest00046.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00046?BenchmarkTest00046=someSecret,Allowed HTTP methods,informational
BenchmarkTest00046.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00046/%5C.10f683d8941cb374b0380b6b2213831a%5C,Interesting response,informational
BenchmarkTest00047.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00047?BenchmarkTest00047=SafeText,Cross-Site Scripting (XSS) in script context,high
BenchmarkTest00047.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00047?BenchmarkTest00047=SafeText,Cross-Site Scripting (XSS),high
BenchmarkTest00047.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00047?BenchmarkTest00047=SafeText%253Cxss_a386b7c373f5e40135a6a52b73fd78ab%252F%253E,Interesting response,informational
BenchmarkTest00047.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00047?BenchmarkTest00047=SafeText,Allowed HTTP methods,informational
BenchmarkTest00047.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00047/%5C.a386b7c373f5e40135a6a52b73fd78ab%5C,Interesting response,informational
BenchmarkTest00048.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00048?BenchmarkTest00048=SafeText,Cross-Site Scripting (XSS) in script context,high
BenchmarkTest00048.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00048?BenchmarkTest00048=SafeText,Cross-Site Scripting (XSS),high
BenchmarkTest00048.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00048?BenchmarkTest00048=SafeText,Allowed HTTP methods,informational
BenchmarkTest00048.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00048/%5C.ca7442600f4d21c3cd16ac2b41a9468c%5C,Interesting response,informational
BenchmarkTest00049.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00049?BenchmarkTest00049=SafeText,Cross-Site Scripting (XSS) in script context,high
BenchmarkTest00049.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00049?BenchmarkTest00049=SafeText,Cross-Site Scripting (XSS),high
BenchmarkTest00049.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00049?BenchmarkTest00049=SafeText,Allowed HTTP methods,informational
BenchmarkTest00049.xml,https://192.168.6.149:8443/benchmark/xss-00/BenchmarkTest00049/%5C.da6c8bbfee23b4997870fd953a0ef4cc%5C,Interesting response,informational
BenchmarkTest00050.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00050?BenchmarkTest00050=someSecret,Allowed HTTP methods,informational
BenchmarkTest00050.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00050/%5C.07f1b3e1a5334d33a776766cf2d07adc%5C,Interesting response,informational
BenchmarkTest00051.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00051?foo=foo&BenchmarkTest00051=ECHOOO,Allowed HTTP methods,informational
BenchmarkTest00051.xml,https://192.168.6.149:8443/benchmark/cmdi-00/BenchmarkTest00051/%5C.cd28d9a51c16cd68271e7fa21e47a842%5C,Interesting response,informational
BenchmarkTest00052.xml,"https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00052?BenchmarkTest00052=verifyUserPassword('foo','bar')",Allowed HTTP methods,informational
BenchmarkTest00052.xml,https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00052/Arachni-706e791fa01fc45ed2cf5bda791d98b1,Interesting response,informational
BenchmarkTest00052.xml,"https://192.168.6.149:8443/benchmark/sqli-00/BenchmarkTest00052?BenchmarkTest00052=verifyUserPassword('foo','bar')",Interesting response,informational
BenchmarkTest00053.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00053,Private IP address disclosure,low
BenchmarkTest00053.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00053,Private IP address disclosure,low
BenchmarkTest00053.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00053,Allowed HTTP methods,informational
BenchmarkTest00053.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00053/%5C.4b121a798b4f1cca310c7da2d33312bb%5C,Interesting response,informational
BenchmarkTest00053.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00053,HttpOnly cookie,informational
BenchmarkTest00054.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00054,Private IP address disclosure,low
BenchmarkTest00054.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00054,Private IP address disclosure,low
BenchmarkTest00054.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00054,Allowed HTTP methods,informational
BenchmarkTest00054.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00054/%5C.0211645484058a92d3d2113b026a939e%5C,Interesting response,informational
BenchmarkTest00054.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00054,HttpOnly cookie,informational
BenchmarkTest00055.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00055,Private IP address disclosure,low
